SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB5,IIb/2013cu/LRIS phase-band : -0.62V,0.8950771,0.56290424,0.027,2.0,-0.62,V,0.3495632,0.6504368,6.5219016,0.012100003
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,SLSN-I/2017egm/KAST phase-band : -18.39B,0.6520979,0.6144565,0.012,1.0,-18.39,B,0.3971129,0.6028871,5.706614,0.012514505
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB5,II-flash/2013fs_early/ALFOSC phase-band : -2.79B,0.98672825,0.57410157,0.058,2.0,-2.79,B,0.34985983,0.65014017,6.8230557,0.012658731
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,SLSN-I/2015bn/EFOSC2-NTT phase-band : -28.66B,1.1921321,0.5810734,0.046,2.0,-28.66,B,0.3561121,0.64388794,5.8194885,0.012762036
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB5,II-flash/2016bkv_early/FLOYDS-N phase-band : 0.81B,0.9116071,0.5778161,0.029,1.8,0.81,B,0.35414654,0.64585346,6.911779,0.012823338
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB5,SLSN-I/2017egm/ALFOSC phase-band : -21.67B,0.6471042,0.6263896,0.027,1.4,-21.67,B,0.34851807,0.6514819,6.936261,0.012868759
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB5,II-flash/2013fs_early/ALFOSC phase-band : -3.81B,0.94959265,0.5995338,0.034,2.0,-3.81,B,0.33299497,0.667005,6.7046256,0.012918354
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB5,SLSN-I/2017egm/ALFOSC phase-band : -13.6B,0.77489054,0.6397149,0.024,2.0,-13.6,B,0.29532707,0.70467293,6.9745226,0.012939746
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,SLSN-I/2017egm/ALFOSC phase-band : -3.65B,0.5676686,0.5631914,0.01,0.8,-3.65,B,0.41751945,0.58248055,6.995076,0.013002001
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB5,SLSN-I/2017egm/KAST phase-band : -0.39B,0.67415124,0.5715108,0.146,2.0,-0.39,B,0.37739834,0.6226017,6.9722643,0.01303227
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,SLSN-I/2017egm/ALFOSC phase-band : 3.33B,0.8761656,0.5984745,0.003,2.0,3.33,B,0.29788756,0.70211244,6.9557796,0.013074774
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,SLSN-I/2017egm/KAST phase-band : -1.38B,0.6681679,0.509129,0.004,1.2,-1.38,B,0.42831513,0.5716849,7.0563874,0.013091628
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB5,IIb-flash/2013cu_early/ALFOSC phase-band : -3.99V,0.74917054,0.5613091,0.06,1.2,-3.99,V,0.42953506,0.57046497,6.9062386,0.013104817
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB4,II-flash/2013fs_early/LRIS phase-band : -4.43B,0.6987702,0.6725347,0.035,2.0,-4.43,B,0.26085034,0.73914963,7.091371,0.013156532
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,II-flash/iPTF14flu_early/LRIS phase-band : u-,1.2618177,0.48144332,0.002,2.0,u,-,0.38506028,0.61493975,7.1079893,0.013187364
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,SLSN-I/2017egm/ALFOSC phase-band : 10.32B,0.9824377,0.57778853,0.003,2.0,10.32,B,0.31490308,0.6850969,6.967059,0.013220226
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,II/2012aw/BC-Ekar phase-band : -7.74B,1.2392801,0.57187235,0.103,2.0,-7.74,B,0.38602543,0.6139746,5.935847,0.013249658
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB4,II-flash/2016bkv_early/FLOYDS-N phase-band : -3.13B,0.5893442,0.7019522,0.095,2.0,-3.13,B,0.25729597,0.74270403,7.152444,0.013269841
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,II-flash/iPTF14flu_early/DBSP phase-band : u-,1.1280094,0.44574174,0.095,2.0,u,-,0.4413202,0.55867976,7.1643953,0.013292014
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,II-flash/2014cn_early/GMOS phase-band : 0.0B,0.74954545,0.5794476,0.016,1.4,0.0,B,0.3819833,0.61801666,6.4512935,0.013356715
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,II/2016esw/KAST phase-band : 0.59B,0.9595598,0.44319832,0.103,2.0,0.59,B,0.445862,0.554138,7.266543,0.013481527
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB5,IIb/2011fu/ISIS phase-band : -18.0B,1.600322,0.29523802,0.139,2.0,-18.0,B,0.6112517,0.3887483,7.2672124,0.013482769
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,IIb-flash/2013cu_early/AFOSC phase-band : -1.06V,1.1574159,0.58880574,0.081,2.0,-1.06,V,0.36281234,0.63718766,6.138527,0.013491268
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB2,SLSN-II/2008es/HET-LRS phase-band : -13.0B,0.92600083,0.6748184,0.125,2.0,-13.0,B,0.2592186,0.7407814,6.0515265,0.0135380905
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB5,SLSN-I/2017egm/ALFOSC phase-band : 5.35B,0.8303948,0.58669627,0.08,2.0,5.35,B,0.3483702,0.6516298,7.2978435,0.013539598
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,FBOT/AT2018cow/SNIFS phase-band : -22.5B,0.967597,0.5455481,0.038,2.0,-22.5,B,0.34325752,0.6567425,7.3257365,0.013591348
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,SLSN-I/Gaia16apd/MMT-Blue phase-band : -2.16B,1.2434733,0.57134783,0.109,2.0,-2.16,B,0.38482127,0.6151787,6.2036095,0.013634307
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,E,SLSN-I/PTF10bfz/LRIS phase-band : -12.0B,1.6057539,0.4433094,0.074,2.0,-12.0,B,0.5096564,0.49034357,7.2395144,0.0136594605
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,SLSN-I/PTF12dam/KAST phase-band : -22.0B,1.0002946,0.5314741,0.055,2.0,-22.0,B,0.35922253,0.64077747,7.437303,0.0137983365
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,SLSN-I/2015bn/KAST phase-band : 9.68B,0.77618235,0.46445134,0.044,1.0,9.68,B,0.49603897,0.503961,7.505854,0.013925518
ZTF24aapvieu_2024-07-11_DBSP_binned.ascii,SB6,SLSN-I/2015bn/EFOSC2-NTT phase-band : -20.66B,1.0528213,0.5574134,0.049,2.0,-20.66,B,0.34177232,0.6582277,7.3887453,0.013967383
