SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB6,IIb/1993J/KAST phase-band : -18.0B,0.6834738,0.00023936664,0.15,-1.4,-18.0,B,0.99987215,0.00012784076,3.3796823,0.0087330295
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-norm/2012cg/KAST phase-band : -8.44B,0.8454404,0.024135334,0.03,-0.4,-8.44,B,0.9781827,0.02181731,3.4772096,0.008758714
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,Ibn/2005la/DEIMOS phase-band : -1.35B,0.43026254,0.4309356,0.05,0.0,-1.35,B,0.49876902,0.50123096,3.425454,0.008897283
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-norm/1994D/KAST phase-band : -8.8B,0.60954046,0.111591585,0.033,-1.2,-8.8,B,0.927221,0.07277897,3.4810185,0.008971697
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II/1999em/LRIS phase-band : 8.0B,0.2023512,0.65041053,0.027,0.8,8.0,B,0.19212121,0.8078788,3.4634936,0.008972781
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB5,IIn/2000eo/Other phase-band : 0.0B,0.90755904,0.095475785,0.128,-0.2,0.0,B,0.92012036,0.07987967,3.4576514,0.0090043
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,Ia-pec/2013bh/HET-LRS phase-band : -2.0V,0.19087102,0.57226855,0.056,-0.4,-2.0,V,0.36860552,0.63139445,3.4771752,0.009008226
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,Ia-pec/2013bh/HET-LRS phase-band : 3.0V,0.11461177,0.63286406,0.054,-0.8,3.0,V,0.32927036,0.67072964,3.4992619,0.009065445
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-CSM/PTF11kx/DBSP phase-band : -1.0B,0.23198427,0.37060457,0.024,-2.0,-1.0,B,0.7513204,0.24867958,3.629904,0.009143335
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-I/LSQ14an/FORS2 phase-band : 409.0V,0.097860284,0.8008606,0.048,1.2,409.0,V,0.052817903,0.9471821,3.5301003,0.009145338
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia 91bg-like/1999by/LRIS phase-band : 183.65B,0.02276362,0.8501887,0.029,2.0,183.65,B,0.00712038,0.9928796,3.5443993,0.009182381
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,Ia-rapid/2002bj/LRIS phase-band : 6.31B,0.40537164,0.46904162,0.066,0.0,6.31,B,0.4570283,0.5429717,3.5470026,0.009189126
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,IIb-flash/2013cu_early/AFOSC phase-band : -1.06V,0.44818243,0.007970035,0.15,-2.0,-1.06,V,0.9958552,0.004144786,3.5690198,0.0091985045
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II-flash/2014cn_early/GMOS phase-band : 0.0B,0.15644968,0.44425964,0.1,-2.0,0.0,B,0.66718465,0.33281532,3.5532568,0.009205328
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ic/2004gt/LRIS phase-band : 57.59B,0.53510004,0.533029,0.099,1.6,57.59,B,0.23696093,0.76303905,3.5348632,0.009205373
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,Ia-02cx like/2002cx/FAST phase-band : -5.77B,0.50157654,0.3298578,0.131,-0.8,-5.77,B,0.7215864,0.2784136,3.5686965,0.009245328
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia 91bg-like/1999by/FAST phase-band : -1.85B,0.28465766,0.47316417,0.022,-0.8,-1.85,B,0.5391214,0.46087858,3.679655,0.009268653
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia 99aa-like/1999aa/LRIS phase-band : 285.0B,0.024509864,0.8357575,0.042,0.8,285.0,B,0.019438948,0.9805611,3.5793204,0.009272851
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-norm/2007sr/BC-duPont phase-band : 20.0B,0.07074009,0.8192732,0.001,1.4,20.0,B,0.034248628,0.96575135,3.573539,0.009281919
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-norm/2012cg/KAST phase-band : -5.5B,0.5235296,0.0067054396,0.027,-0.4,-5.5,B,0.99281055,0.007189439,3.6886659,0.00929135
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,SLSN-I/2017egm/SPRAT phase-band : -10.67B,0.23786488,0.44991097,0.06,-2.0,-10.67,B,0.7019974,0.29800263,3.5695717,0.00929576
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,SLSN-I/2015bn/SPRAT phase-band : -16.66B,0.3508701,0.3545798,0.138,-2.0,-16.66,B,0.7863259,0.21367413,3.5962675,0.009316755
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,super_chandra/2009dc/CAFOS phase-band : 8.0B,0.20536874,0.30515888,0.013,-2.0,8.0,B,0.8036929,0.19630711,3.6995392,0.009318738
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,SLSN-I/2017egm/SPRAT phase-band : -5.69B,0.24621935,0.4239247,0.057,-2.0,-5.69,B,0.7270304,0.2729696,3.5933836,0.009333463
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-pec/2013bh/HET-LRS phase-band : 19.0V,0.00554787,0.8424672,0.051,-1.8,19.0,V,0.037183065,0.96281695,3.6030047,0.009334209
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia 02es-like/iPTF14atg/ALFOSC phase-band : -5.12B,0.7386294,0.0035575496,0.017,-0.8,-5.12,B,0.9971031,0.0028969015,3.709674,0.009344267
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia 91bg-like/2016ije/YFOSC phase-band : u-,0.3705227,0.20286769,0.023,-1.8,u,-,0.875151,0.12484904,3.7108297,0.009347178
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-norm/2017erp/KAST phase-band : -4.69B,0.48785067,0.14319403,0.027,0.0,-4.69,B,0.8226165,0.17738347,3.7125528,0.009351519
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia 91T-like/1991T/UV-Schmidt phase-band : 112.0B,0.008176917,0.8409148,0.053,-1.0,112.0,B,0.028647799,0.9713522,3.6128712,0.00935977
