SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB2,II/2013fs/KAST phase-band : 15.53B,1.7813982,0.14298183,0.017,2.0,15.53,B,0.7388286,0.2611714,4.186276,0.0077667455
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB2,II/2007od/KAST phase-band : 3.33B,1.356245,0.069061905,0.013,1.4,3.33,B,0.8875706,0.11242936,4.4392667,0.008236116
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB1,II/2012aw/AFOSC phase-band : 2.13B,1.0202949,0.076081514,0.016,0.6,2.13,B,0.905116,0.094883956,4.500534,0.008349785
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB1,II/2016esw/KAST phase-band : 13.52B,0.97015995,0.15567046,0.017,1.0,13.52,B,0.78586495,0.21413502,4.62347,0.008577866
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB2,II/2013ej/FLOYDS-N phase-band : 1.39B,0.8981194,0.051311113,0.016,0.4,1.39,B,0.9399228,0.060077183,5.7432075,0.010655302
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,S0,II/2012aw/DOLORES phase-band : -3.88B,0.85941666,0.012481463,0.022,-0.4,-3.88,B,0.9900797,0.009920278,5.8408427,0.010836443
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,S0,II/1999em/LRIS phase-band : 8.0B,1.2377044,0.16750216,0.009,2.0,8.0,B,0.717988,0.282012,5.9922266,0.011221399
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,S0,II/2007od/LRIS phase-band : 5.19B,1.2957726,0.01113294,0.014,0.4,5.19,B,0.9885476,0.0114523955,6.005311,0.011891705
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB5,TDE H+He/2018dyb/EFOSC2-NTT phase-band : 8.14B,2.2230117,0.0022905574,0.006,2.0,8.14,B,0.99539495,0.004605032,7.03632,0.013054397
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,S0,II/2012aw/CAFOS phase-band : 0.13B,1.1471252,0.111806154,0.015,0.2,0.13,B,0.89881474,0.101185285,6.718067,0.014025193
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB1,TDE H/ASASSN-14ae/MODS1 phase-band : 19.19B,0.41314685,0.5958955,0.002,0.0,19.19,B,0.44958425,0.55041575,6.4542274,0.014905836
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,S0,TDE H+He/2018dyb/EFOSC2-NTT phase-band : 3.13B,1.7435727,0.0024456347,0.001,1.4,3.13,B,0.99606824,0.003931766,8.565654,0.015891751
