SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,II/2013fs/KAST phase-band : 15.53B,1.762631,0.14285024,0.017,2.0,15.53,B,0.7369583,0.26304168,4.254343,0.0079818815
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,II/2007od/KAST phase-band : 3.33B,1.3455865,0.06553824,0.014,1.4,3.33,B,0.89202726,0.10797275,4.5525417,0.008541354
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,II/2012aw/AFOSC phase-band : 2.13B,1.0422095,0.04419898,0.016,0.6,2.13,B,0.9437345,0.056265496,4.944102,0.009275989
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,II/2016esw/KAST phase-band : 13.52B,0.96379244,0.025259422,0.014,0.6,13.52,B,0.9677547,0.032245293,5.028057,0.009433503
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,S0,II/1999em/LRIS phase-band : 8.0B,1.2344872,0.15494886,0.011,2.0,8.0,B,0.73404413,0.26595587,5.568019,0.01054549
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,II/2013ej/FLOYDS-N phase-band : 1.39B,0.88842237,0.0523298,0.016,0.4,1.39,B,0.93817645,0.061823577,5.837853,0.01095282
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,S0,II/2007od/LRIS phase-band : 5.19B,1.287823,0.005051411,0.014,0.4,5.19,B,0.9947388,0.005261182,5.661534,0.011345759
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,E,II/2012aw/DOLORES phase-band : -3.88B,0.8562777,0.0043980586,0.022,-0.4,-3.88,B,0.9965975,0.0034024934,6.1617236,0.011560457
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,Sc,II/2012aw/CAFOS phase-band : 0.13B,1.1398783,0.14627676,0.015,0.4,0.13,B,0.8317762,0.16822378,5.5256166,0.011682065
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB4,TDE H+He/2018dyb/EFOSC2-NTT phase-band : 8.14B,2.1987066,0.0044766744,0.006,2.0,8.14,B,0.99075603,0.009243983,7.2715235,0.013642633
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,TDE H+He/2018dyb/EFOSC2-NTT phase-band : 3.13B,1.7038585,0.013509726,0.005,1.4,3.13,B,0.9769212,0.023078822,7.9356794,0.014888705
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,IIb/2013df/KAST phase-band : -7.76B,2.2641213,0.008607899,0.004,2.0,-7.76,B,0.98182434,0.018175654,8.03845,0.01508152
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,TDE H/ASASSN-14ae/MODS1 phase-band : 19.19B,0.40881038,0.5589551,0.002,-0.2,19.19,B,0.49737272,0.5026273,6.4781303,0.015171265
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,SLSN-I/2018bsz/X-Shooter phase-band : 77.0r,0.35000753,0.13739064,0.003,2.0,77.0,r,0.74684983,0.2531502,8.413539,0.01578525
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,S0,II/2012aw/ALFOSC phase-band : -5.74B,0.70366174,0.005394224,0.029,-0.8,-5.74,B,0.9964008,0.0035992041,9.187705,0.01763475
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,TDE H/ASASSN-14ae/DIS phase-band : -7.0B,1.4608309,0.008198541,0.037,1.0,-7.0,B,0.9877003,0.012299723,10.129619,0.019004913
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,E,super_chandra/2007if/SNIFS phase-band : -18.46B,1.0781269,0.038892448,0.117,0.2,-18.46,B,0.96769553,0.032304436,10.349748,0.019417914
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,TDE H+He/ASASSN-14li/DIS phase-band : 9.91B,0.081626326,0.71474016,0.02,-2.0,9.91,B,0.42506278,0.5749372,9.778639,0.019794816
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB3,SLSN-I/2017egm/ALFOSC phase-band : 10.32B,0.58260584,0.13582331,0.011,-0.8,10.32,B,0.89788043,0.10211958,10.577165,0.019994639
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,SLSN-I/2017egm/KAST phase-band : -0.39B,0.48166254,0.029329367,0.011,-1.0,-0.39,B,0.9794545,0.020545496,10.76175,0.0201909
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,Ic-BL/2006aj/FORS2 phase-band : 5.03B,1.8379035,0.19588897,0.04,2.0,5.03,B,0.6558747,0.34412527,10.798957,0.020260707
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,Ia-02cx like/2012Z/KAST phase-band : -8.59B,0.8445948,0.18025048,0.11,0.8,-8.59,B,0.7635707,0.2364293,10.899813,0.02044993
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,SLSN-I/2017egm/KAST phase-band : 6.62B,0.5619357,0.005307879,0.009,-0.6,6.62,B,0.995688,0.004311993,10.905752,0.020461073
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,Ia-02cx like/2012Z/KAST phase-band : -7.64B,0.71817243,0.20846623,0.069,0.4,-7.64,B,0.7579694,0.24203065,11.061984,0.020754192
