SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB2,II/2013fs/KAST phase-band : 15.53B,1.8142883,0.1530254,0.014657,2.0,15.53,B,0.7286057,0.27139428,4.459936,0.008274465
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB1,II/2012aw/AFOSC phase-band : 2.13B,1.0355676,0.08675189,0.014657,0.6,2.13,B,0.89450544,0.10549456,4.543977,0.008430383
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB2,II/2007od/KAST phase-band : 3.33B,1.415765,0.11597681,0.014657,1.6,3.33,B,0.80972356,0.19027643,4.5989313,0.008532341
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB1,II/2016esw/KAST phase-band : 13.52B,0.9883704,0.16563147,0.014657,1.0,13.52,B,0.77798766,0.22201233,4.9044285,0.009099126
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB2,II/2013ej/FLOYDS-N phase-band : 1.39B,0.9160739,0.056677908,0.014657,0.4,1.39,B,0.93516546,0.06483453,5.7380633,0.010645757
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,S0,II/2012aw/DOLORES phase-band : -3.88B,0.8837286,0.016797347,0.014657,-0.4,-3.88,B,0.9867899,0.013210132,6.342386,0.01176695
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB3,SLSN-I/2017egm/ALFOSC phase-band : 10.32B,0.59192336,0.15094066,0.014657,-0.8,10.32,B,0.88970935,0.11029066,10.271913,0.019092774
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB3,SLSN-I/2017egm/KAST phase-band : -0.39B,0.52153945,0.04972323,0.014657,-0.8,-0.39,B,0.9646632,0.03533681,10.418892,0.01933004
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB2,SLSN-I/2017egm/ALFOSC phase-band : 5.35B,0.42979106,0.19982104,0.014657,-1.4,5.35,B,0.87315273,0.12684727,10.789454,0.02001754
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB1,TDE H+He/ASASSN-14li/DIS phase-band : 9.91B,0.08396313,0.7443419,0.014657,-2.0,9.91,B,0.42079362,0.57920635,10.015825,0.02023399
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB3,SLSN-I/2017egm/ALFOSC phase-band : -13.6B,0.3556186,0.19205558,0.014657,-1.8,-13.6,B,0.8983779,0.10162208,11.17523,0.020733265
ZTF24abbenwl_2024-08-16_DBSP_binned.ascii,SB1,SLSN-I/2017egm/ALFOSC phase-band : -21.67B,0.29139587,0.28738225,0.014657,-2.0,-21.67,B,0.84336656,0.15663344,11.625226,0.021568138
