SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,II/2013fs/KAST phase-band : 15.53B,1.8024429,0.14546275,0.017,2.0,15.53,B,0.737774,0.262226,4.406711,0.00826775
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,II/2007od/KAST phase-band : 3.33B,1.3992469,0.11390926,0.017,1.6,3.33,B,0.8110692,0.18893082,5.0176315,0.009413943
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,Sc,II/2016esw/KAST phase-band : 13.52B,1.1135603,0.10247268,0.017,1.2,13.52,B,0.83633876,0.16366124,5.2002716,0.009756607
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,II/2012aw/AFOSC phase-band : 2.13B,1.0671887,0.04195237,0.017,0.6,2.13,B,0.94768214,0.05231785,5.2494965,0.009848962
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,II/2013ej/FLOYDS-N phase-band : 1.39B,0.908638,0.0514011,0.017,0.4,1.39,B,0.94054484,0.059455168,6.2922444,0.011805337
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,E,II/2007od/LRIS phase-band : 5.19B,1.3142099,0.003039401,0.017,0.4,5.19,B,0.99701285,0.0029871515,6.2953434,0.012540525
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,Sc,II/2012aw/CAFOS phase-band : 0.13B,1.1643916,0.14766985,0.017,0.4,0.13,B,0.83379245,0.16620757,5.993151,0.012643779
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,S0,II/2012aw/DOLORES phase-band : -3.88B,0.8791835,0.005973022,0.017,-0.4,-3.88,B,0.99526906,0.004730966,6.9890556,0.013112675
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,II/2012aw/ALFOSC phase-band : -5.74B,0.674179,0.15179121,0.017,-0.6,-5.74,B,0.8790496,0.12095039,10.837435,0.021208288
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,TDE H+He/ASASSN-14li/DIS phase-band : 9.91B,0.08462087,0.7279949,0.017,-2.0,9.91,B,0.42883068,0.5711693,10.512601,0.021410594
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,SLSN-I/2017egm/ALFOSC phase-band : 10.32B,0.5450053,0.13935976,0.017,-1.0,10.32,B,0.9000928,0.09990719,11.467417,0.021514852
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB2,SLSN-I/2017egm/ALFOSC phase-band : 5.35B,0.4219528,0.2021397,0.017,-1.4,5.35,B,0.8702001,0.12979992,11.861626,0.022254458
ZTF24abbenwl_DBSP_2024-08-16_binned.ascii,SB1,SLSN-I/2017egm/ALFOSC phase-band : -13.6B,0.3201124,0.19458964,0.017,-2.0,-13.6,B,0.8984281,0.10157191,12.111139,0.022722589
